Class, Fan-In
org/jfree/chart/renderer/xy/AbstractXYItemRenderer,0
org/jfree/data/xy/XYInterval,0
org/jfree/chart/labels/BoxAndWhiskerXYToolTipGenerator,0
org/jfree/chart/plot/dial/DialPointer$Pointer,0
org/jfree/chart/package-info,0
org/jfree/data/time/Second,0
org/jfree/data/xy/WindDataItem,0
org/jfree/data/gantt/XYTaskDataset,0
org/jfree/chart/renderer/category/LayeredBarRenderer,0
org/jfree/data/time/Day,0
org/jfree/chart/block/EmptyBlock,0
org/jfree/chart/block/LengthConstraintType,0
org/jfree/chart/renderer/DefaultPolarItemRenderer,0
org/jfree/data/time/TimePeriodValue,0
org/jfree/chart/renderer/xy/XYAreaRenderer2,0
org/jfree/chart/util/PaintAlpha,0
org/jfree/data/general/DefaultHeatMapDataset,0
org/jfree/chart/swing/CrosshairOverlay,0
org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGenerator,0
org/jfree/chart/plot/dial/DialValueIndicator,0
org/jfree/chart/labels/BubbleXYItemLabelGenerator,0
org/jfree/chart/renderer/category/StandardBarPainter,0
org/jfree/chart/date/package-info,0
org/jfree/chart/swing/editor/FontDisplayField,0
org/jfree/chart/StandardChartTheme,0
org/jfree/chart/axis/AxisLocation$1,0
org/jfree/chart/legend/LegendGraphic$1,0
org/jfree/data/DefaultKeyedValues,0
org/jfree/data/flow/DefaultFlowDataset,0
org/jfree/chart/util/DefaultShadowGenerator,0
org/jfree/chart/legend/package-info,0
org/jfree/chart/event/ChartProgressEventType,0
org/jfree/chart/labels/package-info,0
org/jfree/chart/plot/compass/package-info,0
org/jfree/chart/axis/DateAxis,0
org/jfree/chart/swing/editor/DefaultValueAxisEditor,0
org/jfree/chart/annotations/XYBoxAnnotation,0
org/jfree/chart/internal/package-info,0
org/jfree/data/KeyedValuesItemKey,0
org/jfree/chart/axis/TickUnits,0
org/jfree/chart/renderer/category/StatisticalBarRenderer,0
org/jfree/data/statistics/MeanAndStandardDeviation,0
org/jfree/data/DataUtils,0
org/jfree/chart/plot/dial/DialPointer,0
org/jfree/data/xml/ItemHandler,0
org/jfree/chart/renderer/xy/XYBubbleRenderer,0
org/jfree/chart/annotations/CategoryPointerAnnotation,0
org/jfree/chart/labels/StandardCategorySeriesLabelGenerator,0
org/jfree/chart/plot/flow/FlowPlot,0
org/jfree/chart/renderer/xy/XYErrorRenderer,0
org/jfree/chart/api/RectangleEdge,0
org/jfree/chart/plot/dial/DialBackground,0
org/jfree/data/Range,0
org/jfree/chart/annotations/XYTextAnnotation,0
org/jfree/chart/axis/NumberTickUnitSource,0
org/jfree/chart/block/Size2D,0
